pop_rating,artist,title,genre,perc_bad_words
83,Train,"Hey, Soul Sister",neo mellow,0
82,Eminem,Love The Way You Lie,detroit hip hop,0.8196721
80,Kesha,TiK ToK,dance pop,0
79,Lady Gaga,Bad Romance,dance pop,0.9596929
78,Bruno Mars,Just the Way You Are,pop,0
77,Justin Bieber,Baby,canadian pop,0
77,Taio Cruz,Dynamite,dance pop,0.26954177
77,OneRepublic,Secrets,dance pop,0
76,Alicia Keys,Empire State of Mind (Part II) Broken Down,hip pop,0
73,Rihanna,Only Girl (In The World),barbadian pop,0
73,Flo Rida,Club Can't Handle Me (feat. David Guetta),dance pop,0
73,Bruno Mars,Marry You,pop,0
73,Mike Posner,Cooler Than Me - Single Mix,dance pop,0
73,Lady Gaga,Telephone,dance pop,0
72,Far East Movement,Like A G6,dance pop,0
72,Usher,OMG (feat. will.i.am),atl hip hop,0
71,Sean Kingston,Eenie Meenie,dance pop,0
70,The Black Eyed Peas,The Time (Dirty Bit),dance pop,0
69,Lady Gaga,Alejandro,dance pop,0
69,Kesha,Your Love Is My Drug,dance pop,0
68,The Black Eyed Peas,Meet Me Halfway,dance pop,0
66,Adam Lambert,Whataya Want from Me,australian pop,0
66,Kesha,Take It Off,dance pop,0
65,Maroon 5,Misery,pop,0
65,OneRepublic,All The Right Moves,dance pop,0
65,Neon Trees,Animal,indie pop,0
64,Selena Gomez & The Scene,Naturally,dance pop,0
63,Enrique Iglesias,I Like It,dance pop,0
63,Katy Perry,Teenage Dream,dance pop,0
62,Katy Perry,California Gurls,dance pop,0.4796163
62,Britney Spears,3,dance pop,0
62,3OH!3,My First Kiss - feat. Ke$ha,dance pop,0
62,Kesha,Blah Blah Blah (feat. 3OH!3),dance pop,0
62,The Black Eyed Peas,Imma Be,dance pop,1.5209125
62,Alicia Keys,Try Sleeping with a Broken Heart,hip pop,0
61,David Guetta,Sexy Bitch (feat. Akon),dance pop,0
59,Adam Lambert,If I Had You,australian pop,0
59,The Black Eyed Peas,Rock That Body,dance pop,0.99601597
58,Florence + The Machine,Dog Days Are Over,art pop,0
57,Alicia Keys,Doesn't Mean Anything,hip pop,0
57,Rihanna,Hard,barbadian pop,0.2766252
56,Shakira,Loca,colombian pop,0
56,Christina Aguilera,You Lost Me,dance pop,0
55,Christina Aguilera,Not Myself Tonight,dance pop,0.6514658
52,Tinie Tempah,Written in the Stars (feat. Eric Turner),dance pop,0
52,Usher,DJ Got Us Fallin' In Love (feat. Pitbull),atl hip hop,0
49,T.I.,Castle Walls (feat. Christina Aguilera),atl hip hop,0.93167704
33,Taio Cruz,Break Your Heart,dance pop,0
0,Martin Solveig,Hello,big room,0
81,Christina Perri,A Thousand Years,dance pop,0
80,Adele,Someone Like You,british soul,0
79,Pitbull,Give Me Everything,dance pop,0
76,Adele,Rolling in the Deep,british soul,0.18181819
75,Bruno Mars,Grenade,pop,0
75,Hot Chelle Rae,Tonight Tonight,dance pop,0
74,Avril Lavigne,What the Hell,canadian pop,0
73,Lady Gaga,Born This Way,dance pop,0
73,Kanye West,Monster,chicago rap,5.666004
72,LMFAO,Party Rock Anthem,dance pop,0
72,Kesha,We R Who We R,dance pop,0.27855152
72,Jessie J,Price Tag,australian pop,0.1912046
72,OneRepublic,Good Life,dance pop,0
69,Jennifer Lopez,On The Floor,dance pop,0.32786885
69,Rihanna,What's My Name?,barbadian pop,0
69,Chris Brown,Yeah 3x,dance pop,0.24875621
68,David Guetta,Without You (feat. Usher),dance pop,0
67,LMFAO,Sexy And I Know It,dance pop,0
67,Lady Gaga,The Edge Of Glory,dance pop,0
66,Katy Perry,E.T.,dance pop,0
65,Britney Spears,Till the World Ends,dance pop,0
64,Britney Spears,I Wanna Go,dance pop,0
64,Kesha,Blow,dance pop,0
64,Lady Gaga,You And I,dance pop,0
63,Lady Gaga,Judas,dance pop,0
63,Enrique Iglesias,Tonight (I'm Fuckin' You),dance pop,7.216495
63,Mike Posner,Please Don't Go,dance pop,0
61,Rihanna,We Found Love,barbadian pop,0
61,Lady Gaga,Marry The Night,dance pop,0
59,Britney Spears,Hold It Against Me,dance pop,0
59,Jennifer Lopez,I'm Into You,dance pop,0.17452008
58,Jennifer Lopez,Papi,dance pop,0
58,Rihanna,Cheers (Drink To That),barbadian pop,0
54,Rihanna,S&M Remix,barbadian pop,0.9560229
50,Christina Perri,Jar of Hearts,dance pop,0
46,Sleeping At Last,Turning Page,acoustic pop,0
38,Nicki Minaj,Super Bass,dance pop,0.30165914
38,P!nk,Raise Your Glass,dance pop,1.0075567
31,Jennifer Lopez,Invading My Mind,dance pop,0
27,Katy Perry,Last Friday Night (T.G.I.F.),dance pop,0
25,Katy Perry,Firework,dance pop,0
66,Katy Perry,Rise,dance pop,0
80,David Guetta,Titanium (feat. Sia),dance pop,0
79,Bruno Mars,Locked Out of Heaven,pop,1.2345679
79,Coldplay,Paradise,permanent wave,0
79,Maroon 5,Payphone,pop,1.5929203
78,One Direction,What Makes You Beautiful,boy band,0
77,Taylor Swift,I Knew You Were Trouble.,pop,0
76,Carly Rae Jepsen,Call Me Maybe,canadian pop,0
76,Selena Gomez & The Scene,Love You Like A Love Song,dance pop,0
76,Adele,Set Fire to the Rain,british soul,0
75,Taylor Swift,We Are Never Ever Getting Back Together,pop,0
74,Kelly Clarkson,Stronger (What Doesn't Kill You),dance pop,0
74,P!nk,Try,dance pop,0
73,Nicki Minaj,Starships,dance pop,3.1331592
73,Maroon 5,One More Night,pop,0
73,Owl City,Good Time,pop,0
72,The Wanted,Glad You Came,boy band,0
72,Justin Bieber,Beauty And A Beat,canadian pop,0.30959752
72,Pitbull,International Love,dance pop,0
72,fun.,Some Nights,baroque pop,0.21052632
71,Justin Bieber,Boyfriend,canadian pop,0
71,Katy Perry,Part Of Me,dance pop,0
69,Jessie J,Domino,australian pop,0
68,Rihanna,Where Have You Been,barbadian pop,0
68,Katy Perry,Wide Awake,dance pop,0
67,Katy Perry,The One That Got Away,dance pop,0
66,Jennifer Lopez,Dance Again,dance pop,0
65,Chris Brown,Turn Up the Music,dance pop,0
65,Ellie Goulding,Lights - Single Version,dance pop,0
61,Rihanna,Diamonds,barbadian pop,0
59,Pitbull,Don't Stop the Party (feat. TJR),dance pop,0
57,Rihanna,You Da One,barbadian pop,0.19880715
54,Gym Class Heroes,Stereo Hearts (feat. Adam Levine),dance pop,0
38,Bruno Mars,It Will Rain,pop,0
0,P!nk,Blow Me (One Last Kiss),dance pop,2.0618556
88,Kelly Clarkson,Underneath the Tree,dance pop,0
85,Avicii,Wake Me Up,big room,0
81,One Direction,Story of My Life,boy band,0
81,P!nk,Just Give Me a Reason (feat. Nate Ruess),dance pop,0
80,The Script,Hall of Fame,celtic rock,0
78,Katy Perry,Roar,dance pop,0
78,Miley Cyrus,We Can't Stop,dance pop,0
78,Swedish House Mafia,Don't You Worry Child - Radio Edit,big room,0
77,Miley Cyrus,Wrecking Ball,dance pop,0
77,James Arthur,Impossible,pop,0
76,Robin Thicke,Blurred Lines,dance pop,0.6702413
76,Demi Lovato,Heart Attack,dance pop,0
75,Kesha,Die Young,dance pop,0
75,Zedd,Clarity,complextro,0
74,Calvin Harris,Under Control,dance pop,0
74,Neon Trees,Everybody Talks,indie pop,0.35460994
73,Drake,"Hold On, We''re Going Home",canadian hip hop,0
73,One Direction,Best Song Ever,boy band,0
73,One Direction,Kiss You,boy band,0
72,Calvin Harris,Sweet Nothing (feat. Florence Welch),dance pop,0
72,Daft Punk,Lose Yourself to Dance,electro,0
71,Britney Spears,Work Bitch,dance pop,2.4390244
71,Sara Bareilles,Brave,acoustic pop,0
70,Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),dance pop,0
70,Pitbull,Feel This Moment (feat. Christina Aguilera),dance pop,0
70,Labrinth,Beneath Your Beautiful,pop,0
70,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),dance pop,0
69,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),dance pop,0
69,OneRepublic,If I Lose Myself - Alesso vs OneRepublic,dance pop,0
68,Ariana Grande,The Way,dance pop,0
68,Justin Timberlake,Suit & Tie,dance pop,0.9655172
68,will.i.am,#thatPOWER,dance pop,0
67,Icona Pop,I Love It (feat. Charli XCX),candy pop,0.16528925
67,David Guetta,Play Hard (feat. Ne-Yo & Akon) - New Edit,dance pop,0
66,Maroon 5,Daylight,pop,0
65,Maroon 5,Love Somebody,pop,0
65,Fergie,A Little Party Never Killed Nobody (All We Got),dance pop,0
63,Little Mix,Move,dance pop,0
62,The Wanted,Walks Like Rihanna,boy band,0
61,Avril Lavigne,Rock N Roll,canadian pop,0.21929824
61,Justin Bieber,Heartbreaker,canadian pop,0
60,Justin Timberlake,Mirrors - Radio Edit,dance pop,0
60,Demi Lovato,Made In The USA,dance pop,0
59,Alicia Keys,Girl On Fire (feat. Nicki Minaj) - Inferno Version,hip pop,0
58,Justin Timberlake,TKO,dance pop,0.36452004
57,Selena Gomez,Come & Get It,dance pop,0
57,Jennifer Lopez,Live It Up,dance pop,1.1627907
56,The Wanted,We Own The Night,boy band,0
54,Austin Mahone,What About Love,dance pop,0
54,Justin Timberlake,Take Back the Night,dance pop,0
52,Lady Gaga,Applause,dance pop,0
52,Ellie Goulding,Anything Could Happen,dance pop,0
52,Enrique Iglesias,Finally Found You,dance pop,0.47058824
52,Jonas Brothers,Pom Poms,boy band,0
51,Mariah Carey,#Beautiful,dance pop,3.3834586
50,Little Mix,How Ya Doin'? (feat. Missy Elliott),dance pop,0
46,Kesha,Crazy Kids (feat. will.i.am),dance pop,0
45,Britney Spears,Ooh La La (from The Smurfs 2),dance pop,0
45,Kelly Clarkson,People Like Us,dance pop,0
43,Ciara,Overdose,dance pop,0
42,Rihanna,Right Now - Dyro Radio Edit,barbadian pop,0
41,Robin Thicke,Give It 2 U,dance pop,0.19157088
36,Jewel,Foolish Games,alaska indie,0
35,Pitbull,Outta Nowhere (feat. Danny Mercer),dance pop,0.46728972
28,Kelly Rowland,Freak,atl hip hop,0.5464481
86,John Legend,All of Me,neo mellow,0
85,Sam Smith,Stay With Me,pop,0
80,Calvin Harris,Summer,dance pop,0
79,MAGIC!,Rude,pop,0
78,Taylor Swift,Shake It Off,pop,0
78,Katy Perry,Dark Horse,dance pop,0
78,Avicii,Hey Brother,big room,0
78,Maroon 5,Maps,pop,0
77,Bruno Mars,Treasure,pop,0
77,Passenger,Let Her Go,folk-pop,0
75,Ariana Grande,Problem,dance pop,0
73,Bastille,Pompeii,metropopolis,0
73,Lorde,Team,art pop,0
73,John Newman,Love Me Again,pop,0
72,Disclosure,Latch,house,0
72,Miley Cyrus,Adore You,dance pop,0
71,Michael Jackson,Love Never Felt So Good,pop,0
71,Ellie Goulding,Burn,dance pop,0
71,5 Seconds of Summer,She Looks So Perfect,boy band,0
70,Iggy Azalea,Fancy,australian hip hop,0.42194092
68,Jason Derulo,Talk Dirty (feat. 2 Chainz),dance pop,0.58365756
68,Bruno Mars,Gorilla,pop,0.74812967
68,Christina Perri,human,dance pop,0
67,Bruno Mars,Young Girls,pop,0
67,Jason Derulo,Wiggle (feat. Snoop Dogg),dance pop,1.6949153
66,OneRepublic,Love Runs Out,dance pop,0
66,Katy Perry,This Is How We Do,dance pop,0
65,Austin Mahone,Mmm Yeah (feat. Pitbull),dance pop,0
65,The Chainsmokers,#SELFIE,electropop,0.28818443
65,Katy Perry,Birthday,dance pop,0
65,Lady Gaga,G.U.Y.,dance pop,0.26041666
64,Zedd,Stay The Night - Featuring Hayley Williams Of Paramore,complextro,0
63,Demi Lovato,Let It Go - From Frozen / Single Version,dance pop,0.032020494
62,Birdy,Wings,neo mellow,0
