,title,artist,lyrics
0,"Hey, Soul Sister",Train,"hey he-e-e-e-ey he-e-e-e-ey  your lipstick stains on the front lobe of my left-side brains i knew i wouldn't forget you and so i went and let you blow my mind your sweet moonbeam the smell of you in every single dream i dream i knew when we collided you're the one i have decided who's one of my kind hey, soul sister ain't that mr. mister on the radio, stereo? the way you move ain't fair, you know hey, soul sister i don't want to miss a single thing you do tonight  hey he-e-e-e-ey he-e-e-e-ey  just in time i'm so glad you have a one-track mind like me you gave my life direction a game show love connection we can't deny i'm so obsessed my heart is bound to beat right out my untrimmed chest i believe in you, like a virgin, you're madonna and i'm always gonna wanna blow your mind  hey, soul sister ain't that mr. mister on the radio, stereo? the way you move ain't fair, you know hey, soul sister i don't want to miss a single thing you do tonight you might also like the way you can cut a rug watching you's the only drug i need so gangster, i'm so thug you're the only one i'm dreaming of, you see i can be myself now finally in fact, there's nothing i can't be i want the world to see you be, with me  hey, soul sister ain't that mr. mister on the radio, stereo? the way you move ain't fair, you know hey, soul sister i don't want to miss a single thing you do tonight hey, soul sister i don't want to miss a single thing you do tonight  hey he-e-e-e-ey he-e-e-e-ey tonight hey he-e-e-e-ey he-e-e-e-ey tonight"
1,Love The Way You Lie,Eminem,"just gonna stand there and watch me burn? well, that's all right because i like the way it hurts just gonna stand there and hear me cry? well, that's all right because i love the way you lie i love the way you lie  i can't tell you what it really is, i can only tell you what it feels like and right now, there's a steel knife in my windpipe i can't breathe, but i still fight while i can fight as long as the wrong feels right, it's like i'm in flight high off her love, drunk from her hate it's like i'm huffin' paint and i love her, the more i suffer, i suffocate and right before i'm about to drown, she resuscitates me she fuckin' hates me, and i love it — ""wait! where you going?"" — ""i'm leaving you!"" — ""no, you ain't! come back!"" — we're runnin' right back, here we go again it's so insane, 'cause when it's goin' good, it's goin' great i'm superman with the wind at his back, she's lois lane but when it's bad, it's awful, i feel so ashamed i snapped, ""who's that dude?"", i don't even know his name i laid hands on her, i'll never stoop so low again i guess i don't know my own strength just gonna stand there and watch me burn? well, that's all right because i like the way it hurts just gonna stand there and hear me cry? well, that's all right because i love the way you lie i love the way you lie i love the way you lie you ever love somebody so much you can barely breathe when you're with 'em? you meet, and neither one of you even know what hit 'em got that warm fuzzy feelin', yeah, them chills, used to get 'em now you're gettin' fuckin' sick of lookin' at 'em? you swore you'd never hit 'em, never do nothin' to hurt 'em now you're in each other's face spewin' venom in your words when you spit 'em you push, pull each other's hair, scratch, claw, bit 'em throw 'em down, pin 'em so lost in the moments when you're in 'em it's the rage that took over, it controls you both so they say you're best to go your separate ways guess that they don't know ya 'cause today, that was yesterday, yesterday is over it's a different day, sound like broken records playin' over but you promised her, next time you'll show restraint you don't get another chance, life is no nintendo game but you lied again now you get to watch her leave out the window guess that's why they call it window pane you might also like just gonna stand there and watch me burn? well, that's all right because i like the way it hurts just gonna stand there and hear me cry? well, that's all right because i love the way you lie i love the way you lie i love the way you lie  now, i know we said things, did things that we didn't mean then we fall back into the same patterns, same routine but your temper's just as bad as mine is, you're the same as me when it comes to love you're just as blinded, baby, please come back, it wasn't you, baby, it was me maybe our relationship isn't as crazy as it seems maybe that's what happens when a tornado meets a volcano all i know is i love you too much to walk away though come inside, pick up your bags off the sidewalk don't you hear sincerity in my voice when i talk? told you this is my fault, look me in the eyeball next time i'm pissed, i'll aim my fist at the drywall next time? there won't be no next time! i apologize, even though i know it's lies i'm tired of the games, i just want her back, i know i'm a liar if she ever tries to fuckin' leave again, i'ma tie her to the bed and set this house on fire, just gonna— just gonna stand there and watch me burn? well, that's all right because i like the way it hurts just gonna stand there and hear me cry? well, that's all right because i love the way you lie i love the way you lie i love the way you lie"
2,TiK ToK,Kesha,"wake up in the morning feelin' like p. diddy (hey, what up, girl?) grab my glasses, i'm out the door, i'm gonna hit this city (let's go) before i leave, brush my teeth with a bottle of jack 'cause when i leave for the night, i ain't coming back  i'm talkin' pedicure on our toes, toes, tryin' on all our clothes, clothes boys blowin' up our phones, phones drop-toppin', playin' our favorite cds, pullin' up to the parties tryna get a little bit tipsy don't stop, make it pop, dj, blow my speakers up tonight, i'ma fight 'til we see the sunlight tick tock on the clock, but the party don't stop, no oh, woah, woah, oh, oh, woah, woah, oh don't stop, make it pop, dj, blow my speakers up tonight, i'ma fight 'til we see the sunlight tick tock on the clock, but the party don't stop, no oh, woah, woah, oh, oh, woah, woah, oh  ain't got a care in the world, but got plenty of beer ain't got no money in my pocket, but i'm already here and now the dudes are linin' up, 'cause they hear we got swagger but we kick 'em to the curb unless they look like mick jagger  i'm talkin' 'bout everybody gettin' crunk, crunk, boys try to touch my junk, junk gonna smack him if he gettin' too drunk, drunk no-now we go until they kick us out, out or the police shut us down, down police shut us down, down, po-po shut us down  don't stop, make it pop, dj, blow my speakers up tonight, i'ma fight 'til we see the sunlight tick tock on the clock, but the party don't stop, no oh, woah, woah, oh, oh, woah, woah, oh don't stop, make it pop, dj, blow my speakers up tonight, i'ma fight 'til we see the sunlight tick tock on the clock, but the party don't stop, no oh, woah, woah, oh, oh, woah, woah, oh you might also like (dj) you build me up, you break me down my heart, it pounds, yeah, you got me with my hands up, you got me now you got that sound, yeah, you got me (dj) you build me up, you break me down my heart, it pounds, yeah, you got me with my hands up, put your hands up put your hands up  now, the party don't start 'til i walk in  don't stop, make it pop, dj, blow my speakers up tonight, i'ma fight 'til we see the sunlight tick tock on the clock, but the party don't stop, no oh, woah, woah, oh, oh, woah, woah, oh don't stop, make it pop, dj, blow my speakers up tonight, i'ma fight 'til we see the sunlight tick tock on the clock, but the party don't stop, no oh, woah, woah, oh, oh, woah, woah, oh"
3,Bad Romance,Lady Gaga,"oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh caught in a bad romance oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh caught in a bad romance  ra-ra, ah-ah-ah, roma, roma-ma gaga, oh, la-la, want your bad romance ra-ra-ah-ah-ah, roma, roma-ma gaga, oh, la-la, want your bad romance i want your ugly, i want your disease i want your everything as long as it's free i want your love love, love, love, i want your love (oh, ey) i want your drama, the touch of your hand (hey!) i want your leather-studded kiss in the sand i want your love love, love, love, i want your love (love, love, love, i want your love)  you know that i want you and you know that i need you i want it bad, your bad romance  i want your love, and i want your revenge you and me could write a bad romance (oh-oh-oh-oh-oh) i want your love, and all your lover's revenge you and me could write a bad romance oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh caught in a bad romance oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh caught in a bad romance you might also like ra-ra, ah-ah-ah, roma-roma-ma gaga, oh, la-la, want your bad romance  i want your horror, i want your design 'cause you're a criminal as long as you're mine i want your love love, love, love, i want your love (uh) i want your psycho, your vertigo schtick (hey!) want you in my rear window, baby, you're sick i want your love love, love, love, i want your love (love, love, love, i want your love)  you know that i want you and you know that i need you ('cause i'm a free bitch, baby) i want it bad, your bad romance  i want your love, and i want your revenge you and me could write a bad romance (oh-oh-oh-oh-oh) i want your love, and all your lover's revenge you and me could write a bad romance oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh caught in a bad romance oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh caught in a bad romance ra-ra-ah-ah-ah, roma-roma-ma gaga, oh, la-la, want your bad romance  walk, walk, fashion, baby work it, move that bitch crazy walk, walk, fashion, baby work it, move that bitch crazy walk, walk, fashion, baby work it, move that bitch crazy walk, walk, passion, baby work it, i'm a free bitch, baby  i want your love, and i want your revenge i want your love, i don't wanna be friends je veux ton amour, et je veux ta revanche je veux ton amour, i don't wanna be friends (oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh) (i want you back) no, i don't wanna be friends (caught in a bad romance) i don't wanna be friends want your bad romance (caught in a bad romance) want your bad romance  i want your love, and i want your revenge you and me could write a bad romance (oh-oh-oh-oh-oh) i want your love, and all your lover's revenge you and me could write a bad romance oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh (want your bad romance) caught in a bad romance (want your bad romance) oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh (want your bad romance) caught in a bad romance  ra-ra-ah-ah-ah, roma, roma-ma gaga, oh, la-la, want your bad romance"
4,Just the Way You Are,Bruno Mars,"oh, oh-oh-oh oh-oh-oh-oh oh-oh-oh  oh, her eyes, her eyes make the stars look like they're not shinin' her hair, her hair falls perfectly without her tryin' she's so beautiful and i tell her every day yeah, i know, i know when i compliment her, she won't believe me and it's so, it's so sad to think that she don't see what i see but every time she asks me, ""do i look okay?"" i say when i see your face (face, face) there's not a thing that i would change 'cause you're amazing (amazing) just the way you are (are) and when you smile (smile, smile) the whole world stops and stares for a while 'cause, girl, you're amazing (amazing) just the way you are (are) yeah  her lips, her lips i could kiss them all day if she'd let me her laugh, her laugh she hates, but i think it's so sexy she's so beautiful, and i tell her every day oh, you know, you know, you know i'd never ask you to change if perfect's what you're searching for then just stay the same so don't even bother askin' if you look okay you know i'll say  when i see your face (face, face) there's not a thing that i would change 'cause you're amazing (amazing) just the way you are (are) and when you smile (smile, smile) the whole world stops and stares for a while 'cause, girl, you're amazing (amazing) just the way you are (are) see bruno mars liveget tickets as low as $you might also like the way you are the way you are girl, you're amazing (amazing) just the way you are (are)  when i see your face there's not a thing that i would change 'cause you're amazing (amazing) just the way you are (are) and when you smile the whole world stops and stares for a while 'cause, girl, you're amazing just the way you are  yeah"
5,Baby,Justin Bieber,"oh, woah-oh-oh-oh-oh oh, woah-oh-oh-oh, oh oh, woah, oh-oh-oh, oh, oh-oh, oh, oh-oh, oh  you know you love me, i know you care (yo, uh-huh) just shout whenever and i'll be there (yo, uh-huh) you are my love, you are my heart (yo, uh-huh) and we will never, ever, ever be apart (yo, uh-huh) are we an item? girl, quit playin' (yo, uh-huh) we're just friends, what are you sayin'? (yo, uh-huh) said, ""there's another"" and looked right in my eyes (yo, uh-huh) my first love broke my heart for the first time, and i was like (yo, uh-huh) baby, baby, baby, oh like baby, baby, baby, no like baby, baby, baby, oh thought you'd always be mine, mine baby, baby, baby, oh like baby, baby, baby, no like baby, baby, baby, oh thought you'd always be mine, mine  oh, for you, i would've done whatever (yo, uh-huh) and i just can't believe we ain't together (yo, uh-huh) and i wanna play it cool, but i'm losin' you (yo, uh-huh) i'll buy you anything, i'll buy you any ring (yo, uh-huh) and i'm in pieces, baby, fix me (yo, uh-huh) and just shake me till you wake me from this bad dream (yo, uh-huh) i'm goin' down, down, down, down (yo, uh-huh) and i just can't believe my first love won't be around, and i'm like  baby, baby, baby, oh like baby, baby, baby, no like baby, baby, baby, oh thought you'd always be mine, mine baby, baby, baby, oh like baby, baby, baby, no like baby, baby, baby, oh thought you'd always be mine, mine see justin bieber liveget tickets as low as $you might also like (luda) when i was thirteen, i had my first love there was nobody that compared to my baby, and nobody came between us nor could ever come above she had me goin' crazy, oh, i was starstruck she woke me up daily, don't need no starbucks (woo) she made my heart pound, and skip a beat when i see her in the street and at school on the playground, but i really wanna see her on the weekend she knows she got me dazing 'cause she was so amazin' and now my heart is breakin', but i just keep on sayin'  baby, baby, baby, oh like baby, baby, baby, no like baby, baby, baby, oh thought you'd always be mine, mine baby, baby, baby, oh like baby, baby, baby, no like baby, baby, baby, oh thought you'd always be mine, mine  i'm gone (yeah-yeah-yeah, yeah-yeah-yeah) now i'm all gone (yeah-yeah-yeah, yeah-yeah-yeah) now i'm all gone (yeah-yeah-yeah, yeah-yeah-yeah) now i'm all gone (gone, gone, gone, gone), i'm gone"
6,Dynamite,Taio Cruz,"i came to dance, dance, dance, dance (yeah) i hit the floor 'cause that's my plans, plans, plans, plans (yeah) i'm wearing all my favorite brands, brands, brands, brands (yeah) give me some space for both my hands, hands, hands, hands, yeah, yeah  'cause it goes on and on and on and it goes on and on and on, yeah  i throw my hands up in the air sometimes sayin' ""ayo, gotta let go"" i wanna celebrate and live my life sayin' ""ayo, baby, let's go"" 'cause we gon' rock this club we gon' go all night we gon' light it up like it's dynamite 'cause i told you once now i told you twice we gon' light it up like it's dynamite  i came to move, move, move, move (yeah) get out the way of me and my crew, crew, crew, crew (yeah) i'm in the club so i'm gonna do, do, do, do (yeah) just what the fuck, came here to do, do, do, do (yeah) yeah, yeah  'cause it goes on and on and on and it goes on and on and on, yeah  i throw my hands up in the air sometimes sayin' ""ayo, gotta let go"" i wanna celebrate and live my life sayin' ""ayo, baby, let's go"" you might also like 'cause we gon' rock this club we gon' go all night we gon' light it up like it's dynamite 'cause i told you once now i told you twice we gon' light it up like it's dynamite  i'm gonna take it all, i i'm gonna be the last one standing higher overall, i i'm gonna be the last one landing 'cause i, i, i believe it and i, i, i, i just want it all i just want it all i'm gonna put my hands in the air hands, hands in the air put yo' hands in the air  i throw my hands up in the air sometimes sayin' ""ayo, gotta let go"" i wanna celebrate and live my life sayin' ""ayo, baby, let's go"" 'cause we gon' rock this club we gon' go all night we gon' light it up like it's dynamite 'cause i told you once now i told you twice we gon' light it up like it's dynamite"
7,Secrets,OneRepublic,"i need another story something to get off my chest my life gets kinda boring need something that i can confess 'til all my sleeves are stained red from all the truth that i've said come by it honestly i swear thought you saw me wink, no i've been on the brink, so so tell me what you want to hear something that will light those ears i'm sick of all the insincere so i'm gonna give all my secrets away this time don't need another perfect lie don't care if critics ever jump in line i'm gonna give all my secrets away  my god, amazing how we got this far it's like we're chasing all those stars who's driving shiny big black cars and every day i see the news all the problems that we could solve and when a situation rises just write it into an album send it straight to gold but i don't really like my flow, no  so tell me what you want to hear something that will light those ears i'm sick of all the insincere so i'm gonna give all my secrets away this time don't need another perfect lie don't care if critics ever jump in line i'm gonna give all my secrets away see onerepublic liveget tickets as low as $you might also like ooh got no reason, got no shame got no family i can blame just don't let me disappear i'ma tell you everything  so tell me what you want to hear something that'll light those ears i'm sick of all the insincere so i'm gonna give all my secrets away this time don't need another perfect lie don't care if critics ever jump in line i'm gonna give all my secrets away so tell me what you want to hear something that'll light those ears i'm sick of all the insincere so i'm gonna give all my secrets away this time don't need another perfect lie don't care if critics ever jump in line i'm gonna give all my secrets away  all my secrets away all my secrets away"
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,"ooooh, new york ooooh, new york  grew up in a town that is famous as a place of movie scenes noise is always loud, there are sirens all around and the streets are mean if i can make it here, i can make it anywhere, that's what they say seein' my face in lights or my name in marquees found down on broadway  even if it ain't all it seems, i got a pocketful of dreams baby, i'm from new york concrete jungle where dreams are made of there's nothin' you can't do now you're in new york these streets will make you feel brand-new big lights will inspire you hear it for new york, new york, new york on the avenue, there ain't ever a curfew, ladies work so hard such a meltin' pot, on the corner sellin' rock, preachers pray to god hail a gypsy cab, takes me down from harlem to the brooklyn bridge someone sleeps tonight with a hunger far more than an empty fridge  i'ma make it by any means, i got a pocketful of dreams baby, i'm from new york concrete jungle where dreams are made of there's nothin' you can't do now you're in new york these streets will make you feel brand-new big lights will inspire you hear it for new york, new york, new york  one hand in the air for the big city street lights, big dreams, all lookin' pretty no place in the world that can compare put your lighters in the air, everybody say ""yeah, yeah! yeah, yeah!""  in new york concrete jungle where dreams are made of there's nothin' you can't do now you're in new york these streets will make you feel brand-new big lights will inspire you hear it for new yorkyou might also like"
9,Only Girl (In The World),Rihanna,"la-la-la-la la-la-la-la la-la-la-la (uh, yeah) la-la-la-la  i want you to love me like i'm a hot ride (uh, yeah) be thinking of me (uh) doing what you like (haha) so, boy, forget about the world 'cause it's gon' be me and you tonight (yeah) i wanna make you beg for it then i'ma make you swallow your pride, oh (uh, uh) want you to make me feel like i'm the only girl in the world like i'm the only one that you'll ever love like i'm the only one who knows your heart only girl in the world like i'm the only one that's in command 'cause i'm the only one who understands how to make you feel like a man, yeah want you to make me feel like i'm the only girl in the world like i'm the only one that you'll ever love like i'm the only one who knows your heart only one  want you to take it (uh) like a thief in the night (uh) hold me like a pillow make me feel right (uh) baby, i'll tell you all my secrets that i'm keeping you can come inside (yeah) and when you enter, you ain't leaving be my prisoner for the night, oh  want you to make me feel like i'm the only girl in the world like i'm the only one that you'll ever love like i'm the only one who knows your heart only girl in the world like i'm the only one that's in command 'cause i'm the only one who understands like i'm the only one who knows your heart only one you might also like take me for a ride, ride oh, baby, take me high, high let me make you rise, rise oh, make it last all night, night take me for a ride, ride oh, baby, take me high, high let me make you rise, rise make it last all night  want you to make me feel like i'm the only girl in the world like i'm the only one that you'll ever love like i'm the only one who knows your heart only girl in the world like i'm the only one that's in command 'cause i'm the only one who understands how to make you feel like a man only girl in the world girl in the world only girl in the world girl in the world"
