title,artist,total_words,total_bad_words,perc_bad_words
"Hey, Soul Sister",Train,294,0,0.0
Love The Way You Lie,Eminem,732,6,0.819672131147541
TiK ToK,Kesha,465,0,0.0
Bad Romance,Lady Gaga,521,5,0.9596928982725527
Just the Way You Are,Bruno Mars,324,0,0.0
Baby,Justin Bieber,442,0,0.0
Dynamite,Taio Cruz,371,1,0.2695417789757413
Secrets,OneRepublic,347,0,0.0
Empire State of Mind (Part II) Broken Down,Alicia Keys,297,0,0.0
Only Girl (In The World),Rihanna,400,0,0.0
Club Can't Handle Me (feat. David Guetta),Flo Rida,594,0,0.0
Marry You,Bruno Mars,342,0,0.0
Cooler Than Me - Single Mix,Mike Posner,404,0,0.0
Telephone,Lady Gaga,669,0,0.0
Like A G6,Far East Movement,487,0,0.0
OMG (feat. will.i.am),Usher,860,0,0.0
Eenie Meenie,Sean Kingston,442,0,0.0
The Time (Dirty Bit),The Black Eyed Peas,488,0,0.0
Alejandro,Lady Gaga,357,0,0.0
Your Love Is My Drug,Kesha,380,0,0.0
Meet Me Halfway,The Black Eyed Peas,434,0,0.0
Whataya Want from Me,Adam Lambert,338,0,0.0
Take It Off,Kesha,435,0,0.0
Misery,Maroon 5,400,0,0.0
All The Right Moves,OneRepublic,438,0,0.0
Animal,Neon Trees,300,0,0.0
Naturally,Selena Gomez & The Scene,273,0,0.0
I Like It,Enrique Iglesias,505,0,0.0
Teenage Dream,Katy Perry,400,0,0.0
California Gurls,Katy Perry,417,2,0.4796163069544364
3,Britney Spears,325,0,0.0
My First Kiss - feat. Ke$ha,3OH!3,282,0,0.0
Blah Blah Blah (feat. 3OH!3),Kesha,282,0,0.0
Imma Be,The Black Eyed Peas,526,8,1.520912547528517
Try Sleeping with a Broken Heart,Alicia Keys,350,0,0.0
Sexy Bitch (feat. Akon),David Guetta,226,0,0.0
If I Had You,Adam Lambert,356,0,0.0
Rock That Body,The Black Eyed Peas,502,5,0.9960159362549801
Dog Days Are Over,Florence + The Machine,287,0,0.0
Doesn't Mean Anything,Alicia Keys,253,0,0.0
Hard,Rihanna,723,2,0.2766251728907331
Loca,Shakira,368,0,0.0
You Lost Me,Christina Aguilera,187,0,0.0
Not Myself Tonight,Christina Aguilera,307,2,0.6514657980456027
Written in the Stars (feat. Eric Turner),Tinie Tempah,457,0,0.0
DJ Got Us Fallin' In Love (feat. Pitbull),Usher,513,0,0.0
Castle Walls (feat. Christina Aguilera),T.I.,322,3,0.9316770186335404
Break Your Heart,Taio Cruz,342,0,0.0
Hello,Martin Solveig,339,0,0.0
A Thousand Years,Christina Perri,221,0,0.0
Someone Like You,Adele,340,0,0.0
Give Me Everything,Pitbull,617,0,0.0
Rolling in the Deep,Adele,550,1,0.18181818181818182
Run the World (Girls),BeyoncÃ©,557,0,0.0
Love On Top,BeyoncÃ©,562,0,0.0
Grenade,Bruno Mars,446,0,0.0
Tonight Tonight,Hot Chelle Rae,467,0,0.0
What the Hell,Avril Lavigne,390,0,0.0
Born This Way,Lady Gaga,581,0,0.0
Monster,Kanye West,1006,57,5.666003976143141
Best Thing I Never Had,BeyoncÃ©,481,2,0.4158004158004158
Party Rock Anthem,LMFAO,491,0,0.0
We R Who We R,Kesha,359,1,0.2785515320334262
Price Tag,Jessie J,523,1,0.19120458891013384
Good Life,OneRepublic,415,0,0.0
Just CanÂt Get Enough,The Black Eyed Peas,599,2,0.333889816360601
On The Floor,Jennifer Lopez,610,2,0.32786885245901637
What's My Name?,Rihanna,620,0,0.0
Yeah 3x,Chris Brown,402,1,0.24875621890547264
Without You (feat. Usher),David Guetta,79,0,0.0
Sexy And I Know It,LMFAO,379,0,0.0
The Edge Of Glory,Lady Gaga,416,0,0.0
E.T.,Katy Perry,268,0,0.0
Till the World Ends,Britney Spears,268,0,0.0
I Wanna Go,Britney Spears,252,0,0.0
Blow,Kesha,289,0,0.0
You And I,Lady Gaga,418,0,0.0
Judas,Lady Gaga,387,0,0.0
Tonight (I'm Fuckin' You),Enrique Iglesias,388,28,7.216494845360824
Please Don't Go,Mike Posner,314,0,0.0
We Found Love,Rihanna,269,0,0.0
Marry The Night,Lady Gaga,369,0,0.0
1+1,BeyoncÃ©,257,0,0.0
Hold It Against Me,Britney Spears,320,0,0.0
I'm Into You,Jennifer Lopez,573,1,0.17452006980802792
Papi,Jennifer Lopez,486,0,0.0
Cheers (Drink To That),Rihanna,531,0,0.0
S&M Remix,Rihanna,523,5,0.9560229445506693
Jar of Hearts,Christina Perri,309,0,0.0
Turning Page,Sleeping At Last,178,0,0.0
Super Bass,Nicki Minaj,663,2,0.301659125188537
Raise Your Glass,P!nk,397,4,1.0075566750629723
Invading My Mind,Jennifer Lopez,299,0,0.0
Last Friday Night (T.G.I.F.),Katy Perry,427,0,0.0
Firework,Katy Perry,367,0,0.0
Titanium (feat. Sia),David Guetta,204,0,0.0
Locked Out of Heaven,Bruno Mars,324,4,1.2345679012345678
Paradise,Coldplay,250,0,0.0
Payphone,Maroon 5,565,9,1.592920353982301
What Makes You Beautiful,One Direction,410,0,0.0
I Knew You Were Trouble.,Taylor Swift,403,0,0.0
Call Me Maybe,Carly Rae Jepsen,407,0,0.0
Love You Like A Love Song,Selena Gomez & The Scene,379,0,0.0
Set Fire to the Rain,Adele,344,0,0.0
We Are Never Ever Getting Back Together,Taylor Swift,371,0,0.0
Stronger (What Doesn't Kill You),Kelly Clarkson,395,0,0.0
Try,P!nk,288,0,0.0
Starships,Nicki Minaj,383,12,3.1331592689295036
One More Night,Maroon 5,495,0,0.0
Good Time,Owl City,327,0,0.0
Glad You Came,The Wanted,325,0,0.0
Beauty And A Beat,Justin Bieber,323,1,0.30959752321981426
International Love,Pitbull,574,0,0.0
Some Nights,fun.,475,1,0.21052631578947367
Boyfriend,Justin Bieber,409,0,0.0
Part Of Me,Katy Perry,415,0,0.0
Domino,Jessie J,389,0,0.0
Where Have You Been,Rihanna,294,0,0.0
Wide Awake,Katy Perry,324,0,0.0
The One That Got Away,Katy Perry,327,0,0.0
Dance Again,Jennifer Lopez,471,0,0.0
Turn Up the Music,Chris Brown,588,0,0.0
Lights - Single Version,Ellie Goulding,276,0,0.0
We Are Young (feat. Janelle MonÃ¡e),fun.,321,0,0.0
Diamonds,Rihanna,373,0,0.0
Don't Stop the Party (feat. TJR),Pitbull,501,0,0.0
You Da One,Rihanna,503,1,0.19880715705765406
Stereo Hearts (feat. Adam Levine),Gym Class Heroes,860,0,0.0
It Will Rain,Bruno Mars,315,0,0.0
Blow Me (One Last Kiss),P!nk,582,12,2.0618556701030926
Underneath the Tree,Kelly Clarkson,309,0,0.0
Wake Me Up,Avicii,251,0,0.0
Story of My Life,One Direction,365,0,0.0
Just Give Me a Reason (feat. Nate Ruess),P!nk,409,0,0.0
Hall of Fame,The Script,461,0,0.0
Roar,Katy Perry,354,0,0.0
We Can't Stop,Miley Cyrus,570,0,0.0
Don't You Worry Child - Radio Edit,Swedish House Mafia,272,0,0.0
Wrecking Ball,Miley Cyrus,339,0,0.0
Impossible,James Arthur,295,0,0.0
Blurred Lines,Robin Thicke,746,5,0.6702412868632708
Heart Attack,Demi Lovato,412,0,0.0
Die Young,Kesha,377,0,0.0
Clarity,Zedd,278,0,0.0
Under Control,Calvin Harris,170,0,0.0
Everybody Talks,Neon Trees,282,1,0.3546099290780142
"Hold On, We're Going Home",Drake,318,0,0.0
Best Song Ever,One Direction,450,0,0.0
Kiss You,One Direction,366,0,0.0
Sweet Nothing (feat. Florence Welch),Calvin Harris,227,0,0.0
Lose Yourself to Dance,Daft Punk,1081,0,0.0
Work Bitch,Britney Spears,410,10,2.4390243902439024
Brave,Sara Bareilles,381,0,0.0
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,714,0,0.0
