,title,artist,year,top genre,pop
0,"Hey, Soul Sister",Train,2010,neo mellow,83
1,Love The Way You Lie,Eminem,2010,detroit hip hop,82
2,TiK ToK,Kesha,2010,dance pop,80
3,Bad Romance,Lady Gaga,2010,dance pop,79
4,Just the Way You Are,Bruno Mars,2010,pop,78
5,Baby,Justin Bieber,2010,canadian pop,77
6,Dynamite,Taio Cruz,2010,dance pop,77
7,Secrets,OneRepublic,2010,dance pop,77
8,Empire State of Mind (Part II) Broken Down,Alicia Keys,2010,hip pop,76
9,Only Girl (In The World),Rihanna,2010,barbadian pop,73
10,Club Can't Handle Me (feat. David Guetta),Flo Rida,2010,dance pop,73
11,Marry You,Bruno Mars,2010,pop,73
12,Cooler Than Me - Single Mix,Mike Posner,2010,dance pop,73
13,Telephone,Lady Gaga,2010,dance pop,73
14,Like A G6,Far East Movement,2010,dance pop,72
15,OMG (feat. will.i.am),Usher,2010,atl hip hop,72
16,Eenie Meenie,Sean Kingston,2010,dance pop,71
17,The Time (Dirty Bit),The Black Eyed Peas,2010,dance pop,70
18,Alejandro,Lady Gaga,2010,dance pop,69
19,Your Love Is My Drug,Kesha,2010,dance pop,69
20,Meet Me Halfway,The Black Eyed Peas,2010,dance pop,68
21,Whataya Want from Me,Adam Lambert,2010,australian pop,66
22,Take It Off,Kesha,2010,dance pop,66
23,Misery,Maroon 5,2010,pop,65
24,All The Right Moves,OneRepublic,2010,dance pop,65
25,Animal,Neon Trees,2010,indie pop,65
26,Naturally,Selena Gomez & The Scene,2010,dance pop,64
27,I Like It,Enrique Iglesias,2010,dance pop,63
28,Teenage Dream,Katy Perry,2010,dance pop,63
29,California Gurls,Katy Perry,2010,dance pop,62
30,3,Britney Spears,2010,dance pop,62
31,My First Kiss - feat. Ke$ha,3OH!3,2010,dance pop,62
32,Blah Blah Blah (feat. 3OH!3),Kesha,2010,dance pop,62
33,Imma Be,The Black Eyed Peas,2010,dance pop,62
34,Try Sleeping with a Broken Heart,Alicia Keys,2010,hip pop,62
35,Sexy Bitch (feat. Akon),David Guetta,2010,dance pop,61
36,Bound To You - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,dance pop,61
37,If I Had You,Adam Lambert,2010,australian pop,59
38,Rock That Body,The Black Eyed Peas,2010,dance pop,59
39,Dog Days Are Over,Florence + The Machine,2010,art pop,58
40,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,dance pop,58
41,Doesn't Mean Anything,Alicia Keys,2010,hip pop,57
42,Hard,Rihanna,2010,barbadian pop,57
43,Loca,Shakira,2010,colombian pop,56
44,You Lost Me,Christina Aguilera,2010,dance pop,56
45,Not Myself Tonight,Christina Aguilera,2010,dance pop,55
46,Written in the Stars (feat. Eric Turner),Tinie Tempah,2010,dance pop,52
47,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,atl hip hop,52
48,Castle Walls (feat. Christina Aguilera),T.I.,2010,atl hip hop,49
49,Break Your Heart,Taio Cruz,2010,dance pop,33
50,Hello,Martin Solveig,2010,big room,0
51,A Thousand Years,Christina Perri,2011,dance pop,81
52,Someone Like You,Adele,2011,british soul,80
53,Give Me Everything,Pitbull,2011,dance pop,79
54,Just the Way You Are,Bruno Mars,2011,pop,78
55,Rolling in the Deep,Adele,2011,british soul,76
56,Run the World (Girls),Beyoncé,2011,dance pop,76
57,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,pop,76
58,Love On Top,Beyoncé,2011,dance pop,76
59,Grenade,Bruno Mars,2011,pop,75
60,Tonight Tonight,Hot Chelle Rae,2011,dance pop,75
61,What the Hell,Avril Lavigne,2011,canadian pop,74
62,Born This Way,Lady Gaga,2011,dance pop,73
63,Monster,Kanye West,2011,chicago rap,73
64,Marry You,Bruno Mars,2011,pop,73
65,Best Thing I Never Had,Beyoncé,2011,dance pop,73
66,Party Rock Anthem,LMFAO,2011,dance pop,72
67,We R Who We R,Kesha,2011,dance pop,72
68,Price Tag,Jessie J,2011,australian pop,72
69,Good Life,OneRepublic,2011,dance pop,72
70,Just Cant Get Enough,The Black Eyed Peas,2011,dance pop,71
71,On The Floor,Jennifer Lopez,2011,dance pop,69
72,What's My Name?,Rihanna,2011,barbadian pop,69
73,Yeah 3x,Chris Brown,2011,dance pop,69
74,Without You (feat. Usher),David Guetta,2011,dance pop,68
75,Sexy And I Know It,LMFAO,2011,dance pop,67
76,The Edge Of Glory,Lady Gaga,2011,dance pop,67
77,E.T.,Katy Perry,2011,dance pop,66
78,Till the World Ends,Britney Spears,2011,dance pop,65
79,I Wanna Go,Britney Spears,2011,dance pop,64
80,Blow,Kesha,2011,dance pop,64
81,You And I,Lady Gaga,2011,dance pop,64
82,Judas,Lady Gaga,2011,dance pop,63
83,Tonight (I'm Fuckin' You),Enrique Iglesias,2011,dance pop,63
84,Please Don't Go,Mike Posner,2011,dance pop,63
85,We Found Love,Rihanna,2011,barbadian pop,61
86,Marry The Night,Lady Gaga,2011,dance pop,61
87,1+1,Beyoncé,2011,dance pop,60
88,Hold It Against Me,Britney Spears,2011,dance pop,59
89,I'm Into You,Jennifer Lopez,2011,dance pop,59
90,Papi,Jennifer Lopez,2011,dance pop,58
91,Cheers (Drink To That),Rihanna,2011,barbadian pop,58
92,S&M Remix,Rihanna,2011,barbadian pop,54
93,Written in the Stars (feat. Eric Turner),Tinie Tempah,2011,dance pop,52
94,Jar of Hearts,Christina Perri,2011,dance pop,50
95,Castle Walls (feat. Christina Aguilera),T.I.,2011,atl hip hop,49
96,Turning Page,Sleeping At Last,2011,acoustic pop,46
97,Super Bass,Nicki Minaj,2011,dance pop,38
98,Raise Your Glass,P!nk,2011,dance pop,38
99,Invading My Mind,Jennifer Lopez,2011,dance pop,31
100,Moment 4 Life - Album Version (Edited),Nicki Minaj,2011,dance pop,28
101,Last Friday Night (T.G.I.F.),Katy Perry,2011,dance pop,27
102,Firework,Katy Perry,2011,dance pop,25
103,Muny - Album Version (Edited),Nicki Minaj,2011,dance pop,7
104,Titanium (feat. Sia),David Guetta,2012,dance pop,80
105,Locked Out of Heaven,Bruno Mars,2012,pop,79
106,Paradise,Coldplay,2012,permanent wave,79
107,Payphone,Maroon 5,2012,pop,79
108,What Makes You Beautiful,One Direction,2012,boy band,78
109,I Knew You Were Trouble.,Taylor Swift,2012,pop,77
110,Call Me Maybe,Carly Rae Jepsen,2012,canadian pop,76
111,Love You Like A Love Song,Selena Gomez & The Scene,2012,dance pop,76
112,Set Fire to the Rain,Adele,2012,british soul,76
113,We Are Never Ever Getting Back Together,Taylor Swift,2012,pop,75
114,Stronger (What Doesn't Kill You),Kelly Clarkson,2012,dance pop,74
115,Try,P!nk,2012,dance pop,74
116,Starships,Nicki Minaj,2012,dance pop,73
117,One More Night,Maroon 5,2012,pop,73
118,Good Time,Owl City,2012,pop,73
119,Glad You Came,The Wanted,2012,boy band,72
120,Beauty And A Beat,Justin Bieber,2012,canadian pop,72
121,International Love,Pitbull,2012,dance pop,72
122,Some Nights,fun.,2012,baroque pop,72
123,Boyfriend,Justin Bieber,2012,canadian pop,71
124,Part Of Me,Katy Perry,2012,dance pop,71
125,Domino,Jessie J,2012,australian pop,69
126,Where Have You Been,Rihanna,2012,barbadian pop,68
127,Wide Awake,Katy Perry,2012,dance pop,68
128,The One That Got Away,Katy Perry,2012,dance pop,67
129,Dance Again,Jennifer Lopez,2012,dance pop,66
130,Turn Up the Music,Chris Brown,2012,dance pop,65
131,Lights - Single Version,Ellie Goulding,2012,dance pop,65
132,We Are Young (feat. Janelle Monáe),fun.,2012,baroque pop,63
133,Diamonds,Rihanna,2012,barbadian pop,61
134,Don't Stop the Party (feat. TJR),Pitbull,2012,dance pop,59
135,You Da One,Rihanna,2012,barbadian pop,57
136,Stereo Hearts (feat. Adam Levine),Gym Class Heroes,2012,dance pop,54
137,It Will Rain,Bruno Mars,2012,pop,38
138,Blow Me (One Last Kiss),P!nk,2012,dance pop,0
139,Underneath the Tree,Kelly Clarkson,2013,dance pop,88
140,Wake Me Up,Avicii,2013,big room,85
141,Story of My Life,One Direction,2013,boy band,81
142,Just Give Me a Reason (feat. Nate Ruess),P!nk,2013,dance pop,81
143,Hall of Fame,The Script,2013,celtic rock,80
144,Roar,Katy Perry,2013,dance pop,78
145,We Can't Stop,Miley Cyrus,2013,dance pop,78
146,Don't You Worry Child - Radio Edit,Swedish House Mafia,2013,big room,78
147,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit,Daft Punk,2013,electro,77
